Province;Municipality;Barangay;storm_surge min;storm_surge max;average storm surge;Rainfall;Rainintensity;2010 mangrove cove;Population;Households;Land area (has);Urbanization (0 rural 1 urban);Income (IRA, 2013);Dead;Partially Damaged Houses;Totally Damaged Houses;Structures (o absent 1 present);Average Elevation;Avg nearest Distance of Mangrove to the Village center (meters)
Bohol;Pres. Carlos P. Garcia;San Vicente;0,1;0,2;0,1;0,992;4,030612;2,416834;893;199;302,64;0; 939.521   ;0;0;0;0;92,612166;0,006827
Bohol;Pres. Carlos P. Garcia;Tugnao;0,1;0,2;0,1;0,992;4,030612;9,130118;1309;279;241,77;0; 1.091.616   ;0;0;0;0;93,582364;0,002426
Bohol;Pres. Carlos P. Garcia;Villa Milagrosa;0,1;0,2;0,1;0,992;4,030612;12,8468;1273;268;404,73;0; 1.078.454   ;0;0;0;0;89,800729;0,006763
Bohol;Talibon;Balintawak;0,1;0,2;0,1;0,807407;4,030612;12,8324;1517;306;846;0; 1.167.663   ;0;2;0;0;86,731987;0,005003
Bohol;Talibon;Burgos;0,1;0,2;0,1;0,807407;4,030612;2,72756;1020;206;1015;0; 985.954   ;0;0;0;0;93,640152;0,014469
Bohol;Talibon;Cataban;0,1;0,2;0,1;0,807407;4,030612;29,401;1262;255;163;0; 1.074.432   ;0;0;0;1;93,894737;0,003216
Bohol;Talibon;Mahanay;0,1;0,2;0,1;0,807407;4,030612;198,222;1659;335;1388;0; 1.219.580   ;0;224;0;1;93,703825;0,002808
Bohol;Talibon;Sag;0,1;0,2;0,1;0,807407;4,030612;52,2025;996;201;39;0; 977.179   ;0;0;0;0;79,52;0,006418
Bohol;Talibon;San Agustin;0,1;0,2;0,1;0,807407;4,030612;85,9436;3867;781;1714;0; 2.026.849   ;0;0;0;1;92,955568;0,005591
Bohol;Talibon;San Francisco;0,1;0,2;0,1;0,807407;4,030612;68,1958;5510;1113;1247;0; 2.627.548   ;0;0;0;0;100,401166;0,001363
Bohol;Talibon;San Pedro;0,1;0,2;0,1;0,807407;4,030612;6,4592;1500;303;86;0; 1.161.447   ;0;0;0;1;85,618326;0,003158
Bohol;Talibon;San Roque;0,1;0,2;0,1;0,807407;4,030612;17,2471;2590;523;1497;0; 1.559.963   ;0;0;0;0;97,339197;0,009096
Bohol;Talibon;Santo Niño;0,1;0,2;0,1;0,807407;4,030612;7,513811;3804;768;1433;0; 2.003.815   ;0;0;0;0;100,430408;0,010819
Bohol;Talibon;Tanghaligue;0,1;0,2;0,1;0,807407;4,030612;8,137057;2062;417;1128;0; 1.366.921   ;0;8;0;0;102,474811;0,004875
Bohol;Trinidad;Tagum Norte;0,1;0,2;0,1;0,807407;4,030612;27,899;1358;319;462,408;0; 1.109.531   ;0;2;0;0;100,913076;0,005975
Bohol;Trinidad;Tagum Sur;0,1;0,2;0,1;0,807407;4,030612;15,5549;1412;295;570,2378;0; 1.129.274   ;0;1;0;0;100,348065;0,002453
Bohol;Ubay;Achila;0,1;0,2;0,1;0,992;4,030612;24,8654;1276;289;384;0; 1.079.550   ;0;0;0;1;94,199356;0,001072
Bohol;Ubay;Biabas;0,1;0,2;0,1;0,992;4,030612;223,863;2573;615;1200;0; 1.553.748   ;0;0;0;0;92,822848;0,002773
Bohol;Ubay;Cagting;0,1;0,2;0,1;0,992;4,030612;143,024;1597;448;1044;0; 1.196.912   ;0;7;0;1;93,970681;0,003359
Bohol;Ubay;Cuya;0,1;0,2;0,1;0,992;4,030612;3,739857;516;109;62;1; 801.686   ;0;5;0;1;48,26087;0,001856
Bohol;Ubay;Humayhumay;0,1;0,2;0,1;0,992;4,030612;50,9663;1708;393;815,43;0; 1.237.494   ;0;0;0;0;100,438942;0,009554
Bohol;Ubay;Katarungan;0,1;0,2;0,1;0,992;4,030612;16,7751;1524;302;408,56;0; 1.170.222   ;0;0;0;0;92,488615;0,003791
Bohol;Ubay;Pangpang;0,1;0,2;0,1;0,807407;4,030612;64,4015;1220;243;450;0; 1.059.076   ;0;0;0;0;98,678647;0,002503
Bohol;Ubay;San Isidro;0,1;0,2;0,1;0,992;4,030612;3,457609;707;156;262;0; 871.518   ;0;0;0;0;102,298137;0,002851
Bohol;Ubay;Sentinila;0,1;0,2;0,1;0,992;4,030612;0,322291;969;220;271;0; 967.308   ;0;0;0;0;91,32948;0,00296
Bohol;Ubay;Sinandigan;0,1;0,2;0,1;0,992;4,030612;11,8053;1874;445;607,28;0; 1.298.186   ;0;1;0;0;95,057856;0,009725
Bohol;Ubay;Tapal;0,1;0,2;0,1;0,992;4,030612;1,787566;1371;334;289,5;0; 1.114.284   ;0;0;0;1;91,32948;0,005556
Bohol;Ubay;Tipolo;0,1;0,2;0,1;0,992;4,030612;7,410374;2456;548;612;0; 1.510.972   ;0;0;0;0;94,972239;0,006833
Bohol;Ubay;Union;0,1;0,2;0,1;0,992;4,030612;2,894777;2332;563;514;0; 1.465.636   ;0;0;0;1;94,753923;0,008588
Capiz;Panay;Agojo;0,5;0,7;0,6;1,864865;6,811538;31,0997;1662;369;;0;1.220.676;0;220;232;0;105,741364;0,002172
Capiz;Panay;Bantique;1;2,3;1,6;1,864865;6,811538;74,2907;1510;336;;0;1.165.103;7;71;249;1;101,643944;0,003421
Capiz;Panay;Buntod;0,5;0,7;0,6;1,864865;6,811538;11,3677;861;191;;0;927.822;0;125;78;0;93,428294;0,002783
Capiz;Panay;Butacal;1;2,3;1,6;1,864865;6,811538;24,8055;1260;280;;0;1.073.701;1;76;268;0;93,483148;0,003419
Capiz;Panay;Jamul-Awon;1;2,3;1,6;1,864865;6,811538;65,4445;991;220;;0;975.351;0;87;156;0;102,113921;0,00015
Capiz;Panay;Navitas;1;2,3;1,6;1,864865;6,811538;43,4016;1303;290;;0;1.089.422;2;97;217;0;98,841873;0,000794
Capiz;Panay;Pawa;0,5;0,7;0,6;1,864865;6,811538;35,8694;2466;548;;0;1.514.628;1;434;276;1;99,462081;0,00344
Capiz;Panay;Pili;1;2,3;1,6;1,864865;6,811538;48,5968;247;55;;0;703.337;0;34;38;0;99,646338;0,002232
Capiz;Pontevedra;Agbanog;1;2,3;1,6;1,864865;6,811538;122,947;884;180;660,86;0;936.231;0;30;133;;97,216067;0,000116
Capiz;Pontevedra;Ameligan;1;2,3;1,6;1,864865;6,811538;32,5542;1364;292;666,6279;0;1.111.724;0;95;150;;103,849283;0,003095
Capiz;Pontevedra;Bantigue;1;2,3;1,6;1,864865;6,811538;18,1975;701;123;296,7857;0;869.324;0;29;57;;102,516333;0,000536
Capiz;Pontevedra;Cabugao;1;2,3;1,6;1,864865;3,975676;56,0938;558;127;217,4901;0;817.042;0;43;50;;96,112755;0,002027
Capiz;Pontevedra;Gabuc;1;2,3;1,6;1,864865;6,811538;6,677145;607;98;240,6071;0;834.957;0;29;66;;83,666667;0,001455
Capiz;Pontevedra;Intungcan;1;2,3;1,6;1,864865;6,811538;9,38949;1077;257;247,8564;0;1.006.794;0;83;138;;90,269279;0,0023
Capiz;Pontevedra;Jolongajog;1;2,3;1,6;1,864865;3,975676;44,2037;1973;457;1910,1175;0;1.334.381;1;222;222;;98,206621;0,009498
Capiz;Pontevedra;Lantangan;1;2,3;1,6;1,864865;13,125;11,986;2171;546;743,2806;0;1.406.772;0;190;265;;99,764506;0,009286
Capiz;Pontevedra;Manapao;1;2,3;1,6;1,864865;6,811538;2,156742;767;166;36,8774;0;893.454;0;86;80;;78;0,005066
Cebu;Consolacion;Nangka;0,1;0,2;0,1;0,623684;2,588235;19,0365;11021;2505;;0;4.642.430;0;;;;84,021427;0,002053
Cebu;Consolacion;Tugbongan;0,1;0,2;0,1;0,623684;2,588235;0,770049;7108;1615;;0;3.211.794;0;;;;84,176471;0,005746
Cebu;Danao City;Guinsay;0,1;0,2;0,1;0,623684;2,588235;45,1316;7887;1685;376;0;3.496.605;0;0;0;0;92,056738;0,00348
Cebu;Liloan;Poblacion;0,1;0,2;0,1;0,636538;2,588235;0,88602;13371;3039;332;1;5.501.616;0;0;0;1;89,217391;0,002157
Cebu;Liloan;Yati;0,1;0,2;0,1;0,623684;2,588235;1,02677;22468;5106;446;1;8.827.579;0;0;0;1;100,510949;0,00519
Cebu;Mandaue City;Basak;0,1;0,2;0,1;0,623684;2,588235;1,456002;7.858;1.940;49,932;1;3.486.002;0;0;0;;88,090056;0,005175
Cebu;Mandaue City;Jagobiao;0,1;0,2;0,1;0,623684;2,588235;0,24254;12.227;2.715;127,477;1;5.083.357;0;0;0;;88,090056;0,006178
Cebu;Mandaue City;Labogon;0,1;0,2;0,1;0,623684;2,588235;15,496;19.175;4.270;96,531;1;7.623.622;0;0;0;;88,090056;0,001854
Cebu;Medellin;Dayhagon;1;2,3;1,6;0,386357;9,079167;26,1967;1792;407;;0;1.226.526;;299;116;;93,814487;0,006252
Cebu;Medellin;Don Virgilio Gonzales;1;2,3;1,6;0,386357;9,079167;17,4304;1151;262;;0;1.083.572;;211;103;;96,099772;0,005184
Cebu;Medellin;Lamintak Sur;1;2,3;1,6;0,386357;9,079167;4,898956;2751;625;;0;1.490.497;;418;194;;95,065487;0,005335
Cebu;San Remigio;Tambongon;1;2,3;1,6;0,386357;9,079167;55,1967;2727;603;535,5;0;1.610.052;0;450;179;0;94,916265;0,00195
Cebu;Sibonga;Abugon;0,2;0,5;0,3;0,568182;2,588235;22,9971;1783;331;420;0;1.308.789;0;0;0;0;75,848945;0,006556
Cebu;Sibonga;Bahay;0,2;0,5;0,3;0,568182;2,588235;25,4261;4220;798;636;0;2.249.506;0;0;0;1;65,789299;0,001619
Cebu;Sibonga;Candaguit;0,2;0,5;0,3;0,568182;2,588235;21,3226;2071;401;429;0;1.423.225;0;0;0;0;63,988487;0,004771
Eastern Samar;Guiuan;Habag;0,2;0,5;0,3;3,009524;9,030556;14,2526;391;91;;0;755,985 ;0;39;53;0;93,952599;0,013324
Eastern Samar;Guiuan;Inapulangan;0,2;0,5;0,3;3,009524;9,030556;3,772924;589;129;;0;828,376 ;0;81;69;0;93,952599;0,010598
Eastern Samar;Quinapondan;Bagte;0,1;0,2;0,1;2,37;15,861111;68,7897;1411;301;546,8111;0;974,620 ;0;90;211;0;86,846668;0,002477
Eastern Samar;Quinapondan;Buenavista;0,1;0,2;0,1;2,37;15,861111;45,7245;943;201;390,6237;0;982,298 ;1;34;167;0;84,451877;0,000299
Eastern Samar;Quinapondan;Naga;0,1;0,2;0,1;2,37;15,861111;94,5547;510;100;248,0687;0;771,706 ;0;26;74;0;90,420074;0
Eastern Samar;Quinapondan;Paco;0,1;0,2;0,1;4,481818;15,861111;78,1812;478;96;249,5484;0;749,769 ;2;11;85;0;92,190165;0,015505
Eastern Samar;Quinapondan;Santa Margarita;0,1;0,2;0,1;4,481818;15,861111;186,104;828;169;295,2761;0;856,893 ;0;34;135;0;91,634456;0,000404
Eastern Samar;Quinapondan;Santo Niño;0,1;0,2;0,1;4,481818;15,861111;32,8531;1508;318;140,9378;0;1,101,487 ;2;90;228;0;93,160684;0,013114
Eastern Samar;Salcedo;Abejao;0,1;0,2;0,1;2,37;15,861111;83,9484;631;154;;0;813020,00;0;86;60;;91,967677;0,003749
Eastern Samar;Salcedo;Butig;0,5;0,7;0,6;3,009524;15,861111;51,2332;341;90;;0;731,854 ;0;36;47;;91,953488;0,005897
Eastern Samar;Salcedo;Cagaut;0,5;0,7;0,6;4,481818;15,861111;117,991;726;165;;0;838,247 ;0;45;120;;96,984195;0,001112
Eastern Samar;Salcedo;Camanga;0,5;0,7;0,6;2,37;15,861111;53,0339;625;130;;0;808,267 ;0;47;80;;96,149167;0,001668
Eastern Samar;Salcedo;Cantomoja;0,5;0,7;0,6;2,37;15,861111;25,7624;354;87;;0;742,457 ;0;66;467;;89,850307;0,004305
Eastern Samar;Salcedo;Caridad;0,1;0,2;0,1;2,37;15,861111;95,0161;468;96;;0;766,953 ;0;37;59;;94,279703;0,002361
Eastern Samar;Salcedo;Maliwaliw;0,5;0,7;0,6;4,481818;15,861111;118,436;242;97;;0;754,888 ;2;22;45;;95,720305;0,001544
Eastern Samar;Salcedo;Matarinao;0,1;0,2;0,1;2,37;15,861111;42,9155;2004;435;;0;1,274,056 ;2;230;212;;85,723306;0,005413
Eastern Samar;Salcedo;Seguinon;0,1;0,2;0,1;2,37;15,861111;117,601;397;88;;0;758,910 ;0;53;35;;92,301797;0,006794
Eastern Samar;Salcedo;Tacla-On;0,5;0,7;0,6;4,481818;15,861111;91,1506;765;167;;0;864,937 ;0;61;94;;97,792136;0,004298
Eastern Samar;Salcedo;Tagbacan;0,1;0,2;0,1;2,37;15,861111;79,557;334;69;;0;710,283 ;1;8;60;;91,733057;0,000007
Iloilo;Ajuy;Luca;0,5;0,7;0,6;2,231111;13,125;25,8853;3131;666;1374,987;0;1.757.759;0;377;311;0;80,45502;0,009234
Iloilo;Ajuy;Pedada;0,5;0,7;0,6;2,231111;13,125;7,286512;1265;269;727,615;0;1.075.529;0;203;90;1;89,214913;0,008772
Iloilo;Ajuy;Santo Rosario;0,5;0,7;0,6;2,231111;13,125;7,020823;2192;466;1003,405;0;1.414.450;0;304;134;0;86,014451;0,015337
Iloilo;Balasan;Lawis;1;2,3;1,6;0,224167;6,811538;20,7279;1753;330;;0;1.285.024;3;103;262;0;95,517391;0,006539
Iloilo;Balasan;Mamhut Norte;1;2,3;1,6;0,224167;6,811538;7,366282;1428;310;;0;1.100.390;0;84;199;0;96,436772;0,005137
Iloilo;Barotac Nuevo;Baras;0,2;0,5;0,3;1,507463;4,744118;18,0174;786;175;352,465;0;900.401;0;12;4;0;100,28948;0,005584
Iloilo;Barotac Nuevo;Guintas;0,2;0,5;0,3;1,507463;4,744118;18,8804;2062;444;319,076;0;1.366.921;0;4;16;0;97,828622;0,008567
Iloilo;Barotac Nuevo;Jalaud;0,2;0,5;0,3;1,507463;4,744118;25,8287;2314;483;945,483;0;1.459.055;0;7;4;0;98,196596;0,006578
Iloilo;Barotac Nuevo;Palaciawan;0,2;0,5;0,3;1,507463;4,744118;61,8798;1770;379;605,8529;0;1.260.162;0;43;18;0;98,915741;0,00797
Iloilo;Barotac Nuevo;Talisay;0,2;0,5;0,3;1,507463;4,744118;26,6441;1720;387;442,4;0;1.241.882;0;64;12;1;97,678791;0,008766
Iloilo;Barotac Nuevo;Tiwi;0,2;0,5;0,3;1,507463;4,744118;25,4386;2320;514;921,9927;0;1.461.248;0;56;8;0;97,03897;0,006348
Iloilo;Dumangas;Bacay;0,2;0,5;0,3;0,988571;4,744118;41,4489;1780;366;1067,6;0;1.263.818;0;140;7;;98,000889;0,007121
Iloilo;Dumangas;Bantud Fabrica;0,2;0,5;0,3;0,988571;4,744118;0,81743;2099;456;583,2685;0;1.380.448;0;32;3;;101,043734;0,003496
Iloilo;Dumangas;Dacutan;0,2;0,5;0,3;1,02375;4,744118;4,377981;1993;413;230,7171;0;1.341.694;0;27;7;;101,043734;0,003653
Iloilo;Dumangas;Nanding Lopez;0,2;0,5;0,3;1,507463;4,744118;62,5582;1377;295;796,9466;0;1.116.477;0;160;22;;97,372746;0,001814
Iloilo;Dumangas;Paloc Sool;0,2;0,5;0,3;1,507463;4,744118;23,9559;2444;529;994,0363;0;1.506.584;0;94;9;;97,748706;0,000823
Leyte;Babatngon;Biasong;1;2,3;1,6;0,227;15,861111;80,0438;445;83;792,9762;0;764.028;0;0;3;1;95,192138;0,005194
Leyte;Babatngon;Guintigui-An;1;2,3;1,6;0,227;15,861111;7,462334;630;114;318,5494;0;826.913;0;46;27;1;85,646257;0,002713
Leyte;Babatngon;Lukay;1;2,3;1,6;0,227;15,861111;69,0741;419;98;211,1914;0;755.254;0;45;34;0;98,153189;0,008245
Leyte;Babatngon;Magcasuang;1;2,3;1,6;0,227;15,861111;44,4803;590;105;556,5239;0;813.386;0;14;0;1;98,68037;0,00741
Leyte;Babatngon;Malibago;1;2,3;1,6;0,227;15,861111;81,1624;1123;195;495,636;0;994.363;0;57;35;1;94,888445;0,006066
Leyte;Babatngon;Planza;1;2,3;1,6;0,227;15,861111;58,3525;705;122;675,7454;0;852.506;0;157;20;1;86,363636;0,003771
Leyte;Babatngon;Rizal I;1;2,3;1,6;0,227;15,861111;252,556;758;159;361,1046;0;870.421;0;148;9;1;96,530041;0
Leyte;Babatngon;San Ricardo;1;2,3;1,6;0,227;15,861111;55,5715;948;193;1092,5209;0;934.769;0;102;25;0;97,683294;0,002927
Leyte;Babatngon;Sangputan;1;2,3;1,6;0,227;15,861111;26,0204;608;117;325,2748;0;819.601;0;111;21;1;96,960879;0,001469
Leyte;Babatngon;Taguite;1;2,3;1,6;0,227;15,861111;23,31;1512;286;806,0231;0;1.126.349;0;52;10;1;99,131666;0,009244
Leyte;Babatngon;Uban;1;2,3;1,6;2,421053;15,861111;4,352532;1151;274;626,7883;0;1.033.849;;102;153;1;85,646257;0,006995
Leyte;Babatngon;Victory;1;2,3;1,6;0,227;15,861111;95,4407;717;126;727,6514;0;856.528;0;139;8;0;95,931985;0,005125
Leyte;Barugo;Balud;0,1;0,2;0,1;0,227;15,861111;84,7116;567;125;21929,735;0;819.967;0;72;133;0;93,968072;0,004384
Leyte;Barugo;Cabarasan;0,1;0,2;0,1;0,227;15,861111;77,6179;771;130;17.607,85;0;894.917;0;111;82;0;90,241307;0,001505
Leyte;Barugo;Duka;0,1;0,2;0,1;0,227;15,861111;12,6246;599;76;12229,55;0;755.619;0;64;29;1;94,606881;0,008716
Leyte;Isabel;Apale;0,2;0,5;0,3;2,362963;15,861111;85,9755;1711;452;220,88;0;1,233,473 ;0;226;91;1;66,285771;0,002371
Leyte;Isabel;Libertad;0,2;0,5;0,3;2,362963;15,861111;5,702807;4111;1013;190,13;0;2,393,557 ;0;468;369;0;91,666667;0,008305
Leyte;Isabel;Tolingon;0,2;0,5;0,3;2,362963;15,861111;14,1808;1536;364;225,87;0;1,242,979 ;0;160;104;0;74,2481;0,006801
Leyte;San Miguel;Caraycaray;1;2,3;1,6;0,227;15,861111;19,629;571;100;330,9394;0;792.911;0;77;30;0;105,48261;0,004785
Leyte;San Miguel;Malpag;1;2,3;1,6;0,227;15,861111;67,8636;513;122;236,7751;0;779.018;0;99;33;1;102,042556;0
Leyte;San Miguel;San Andres;1;2,3;1,6;0,227;15,861111;67,4642;492;111;158,3604;0;758.178;0;70;27;1;100,11942;0,000966
Leyte;San Miguel;Santa Cruz;1;2,3;1,6;0,227;15,861111;35,374;1581;317;136,5716;0;1.191.062;0;297;120;1;98,361222;0
Leyte;Tacloban City;Barangay 105;1;2,3;1,6;3,058;15,861111;6,24571;1467;335;303,5;1;1.167.297;0;163;167;0;87,620374;0,008862
Leyte;Tacloban City;Barangay 71;1;2,3;1,6;3,058;15,861111;10,5389;6184;1387;49,21;1;2.633.397;43;364;959;1;84,397333;0,000061
Leyte;Tacloban City;Barangay 74;1;2,3;1,6;3,058;15,861111;0,924715;6750;1871;20,15;1;3.278.701;46;566;1276;0;78,976952;0,001888
Leyte;Tacloban City;Barangay 93;1;2,3;1,6;3,058;15,861111;2,994133;2779;1226;1120;1;2.052.076;23;365;840;0;94,545455;0,01041
Leyte;Tacloban City;Barangay 94;1;2,3;1,6;3,058;15,861111;3,112629;1265;363;80;1;1.637.473;0;188;170;0;83,204023;0,008706
Leyte;Tacloban City;Barangay 94-A;1;2,3;1,6;3,058;15,861111;0,603774;2185;657;283,896;1;1.095.637;38;310;330;0;83,204023;0,009384
Leyte;Tacloban City;Barangay 97;1;2,3;1,6;3,058;15,861111;5,030101;2290;785;509;1;1.519.015;0;462;313;0;87,620374;0,011796
Leyte;Tacloban City;Barangay 99;1;2,3;1,6;3,058;15,861111;3,069497;5602;1491;353;1;2.510.552;113;879;604;0;79,723757;0,007089
Negros Occidental;Cadiz City;Daga;0,7;1;0,8;2,674493;13,636207;64,0357;14092;2824;2322,91;1;5.765.221;0;2382;524;0;97,804631;0,002903
Negros Occidental;Cadiz City;Luna;0,7;1;0,8;2,674493;13,636207;110,675;10590;2316;2631,69;0;4.484.852;0;692;379;0;102,744765;0,0116
Negros Occidental;Cadiz City;Sicaba;0,7;1;0,8;2,674493;13,636207;184,202;5032;1029;1904,2;0;2.452.786;0;667;365;0;99,16591;0,002717
Negros Occidental;Cadiz City;Tinampa-An;0,5;0,7;0,6;2,674493;13,636207;18,8384;11334;2020;965,43;1;4.756.866;0;1097;401;0;103,737472;0,007265
Negros Occidental;Enrique B. Magalona;Batea;0,2;0,5;0,3;1,583333;13,125;5,7329;1132;226;328,856;0;1.026.903;0;186;36;1;91,109889;0,00466
Negros Occidental;Enrique B. Magalona;Madalag;0,2;0,5;0,3;1,583333;13,125;16,1211;1792;338;319,845;0;1.588.481;0;145;25;1;83,957407;0,003083
Negros Occidental;Enrique B. Magalona;Manta-Angan;0,2;0,5;0,3;1,583333;13,125;4,538274;2259;501;263,1011;0;1.438.946;0;165;21;1;84,571307;0,008939
Negros Occidental;Enrique B. Magalona;Pasil;0,2;0,5;0,3;1,583333;13,125;61,7079;2201;440;493,66;0;1.417.741;0;436;31;1;95,662983;0,000633
Negros Occidental;Enrique B. Magalona;Tomongtong;0,2;0,5;0,3;1,583333;13,125;10,0167;1525;305;122,5114;0;1.170.588;0;291;12;1;84,460432;0,003314
Negros Occidental;Sagay City;Bulanon;0,5;0,7;0,6;2,674493;13,636207;266,799;7362;1613;;0;3.304.659;0;1001;288;;97,417962;0,006149
Negros Occidental;Sagay City;Himoga-An Baybay;0,7;1;0,8;2,674493;13,636207;91,8168;7301;1922;;0;3.282.357;0;938;224;;101,33674;0,005679
Negros Occidental;Sagay City;Old Sagay;0,7;1;0,8;2,674493;13,636207;91,1694;12521;2787;;1;5.190.846;0;1669;385;;101,606019;0,00553
Negros Occidental;Sagay City;Taba-Ao;0,7;1;0,8;2,674493;13,636207;178,615;5138;1195;;0;2.491.540;0;611;211;;98,444742;0,000266
Negros Occidental;Sagay City;Vito;0,5;0,7;0,6;2,674493;13,636207;52,5576;6373;1499;;1;2.943.070;0;922;285;;93,810732;0,009644
Northern Samar;Lavezares;Bani;0,1;0,2;0,1;1,722783;8,957143;37,2409;918;177;723,6295;0;948.662;0;0;0;;88,571578;0,007838
Northern Samar;Lavezares;Libas;0,1;0,2;0,1;0,941176;8,957143;9,552048;2424;466;529,9524;1;1.499.272;0;0;0;;94,004754;0,010014
Northern Samar;Lavezares;Libertad;0,1;0,2;0,1;0,941176;8,957143;31,7022;1294;249;184,4308;0;1.086.131;0;0;0;;99,984681;0,003901
Northern Samar;Lavezares;San Agustin;0,1;0,2;0,1;1,722783;8,957143;45,5787;630;121;250,2067;0;843.366;0;0;0;;92,960343;0,003938
Northern Samar;Lavezares;San Juan;0,1;0,2;0,1;1,722783;8,957143;97,7673;1131;218;474,8116;0;1.026.537;0;0;0;;88,32309;0,00591
Northern Samar;Lavezares;San Miguel;0,1;0,2;0,1;0,941176;8,957143;21,8458;1294;249;321,4917;0;1.086.131;0;0;0;;99,984681;0,009241
Northern Samar;Lavezares;Villahermosa;0,1;0,2;0,1;0,941176;8,957143;45,3389;460;88;148,3983;0;781.212;0;0;0;;94,004754;0,004943
Northern Samar;San Jose;Barangay North;0,1;0,2;0,1;1,722783;8,957143;17,2255;1583;435;66,846;1;1.063.829;0;0;0;1;102,094661;0,000696
