Province;Municipality;Barangay;storm_surge min;storm_surge max;average storm surge;Rainfall;Rainintensity;2010 mangrove cove;Population;Households;Land area (has);Urbanization (0 rural 1 urban);Income (IRA, 2013);Dead;Partially Damaged Houses;Totally Damaged Houses;Structures (o absent 1 present);Average Elevation;Avg nearest Distance of Mangrove to the Village center (meters)
Samar;Pagsanghan;Villahermosa Oriental;0,1;0,2;0,1;0,548387;7,322222;6,750264;542;124;388,5;0;811.192;0;0;0;0;93,921873;0,006293
Samar;Paranas;Apolonia;0,2;0,5;0,3;1,64;7,322222;48,2732;687;135;1086;0;850.678;0;0;0;0;91,900218;0,010322
Samar;Paranas;Bato;0,2;0,5;0,3;1,64;7,322222;40,4841;621;157;1056;0;889.798;0;0;0;1;90,84432;0,002159
Samar;Paranas;Buray;0,2;0,5;0,3;1,64;7,322222;31,2428;1932;379;1306;0;1.281.002;0;0;0;1;92,986664;0,004716
Samar;Paranas;Lipata;0,2;0,5;0,3;1,64;7,322222;11,1587;1286;252;1160;0;1.057.614;0;0;0;1;91,653276;0,004322
Samar;Paranas;Pabanog;0,2;0,5;0,3;1,64;7,322222;38,0355;1792;351;1139;0;1.232.376;0;0;0;0;99,493503;0,001893
Samar;Paranas;Pagsa-Ogan;0,2;0,5;0,3;1,64;7,322222;49,4892;233;46;1085;0;745.016;0;0;0;0;93,264408;0,004641
Samar;Paranas;Poblacion 5;0,2;0,5;0,3;1,64;7,322222;5,012977;1096;215;816;1;991.804;0;0;0;1;86,228959;0,003105
Samar;Paranas;Tigbawon;0,2;0,5;0,3;1,64;7,322222;133,63;1172;230;1008;0;1.018.128;0;0;0;0;97,214107;0,001203
Samar;Pinabacdao;Bangon;0,2;0,5;0,3;1,4;7,322222;125,134;1243;234;275,43;0;1067485;0;165;46;1;77,42732;0
Samar;Pinabacdao;Barangay II;0,2;0,5;0,3;1,4;7,322222;11,9946;766;146;127,5;0;893089;0;77;69;1;65,731337;0,000094
Samar;Pinabacdao;Botoc;0,2;0,5;0,3;1,4;7,322222;33,881;697;150;398;0;867862;0;104;46;0;96,651189;0
Samar;Pinabacdao;Calampong;0,2;0,5;0,3;1,4;7,322222;71,6776;512;120;317,95;0;800224;0;53;67;1;97,939958;0
Samar;Pinabacdao;Loctob;0,2;0,5;0,3;1,4;7,322222;65,1999;213;41;667;0;690906;0;38;3;0;96,492669;0,003188
Samar;Pinabacdao;San Isidro;0,2;0,5;0,3;1,4;7,322222;6,741413;336;74;66;0;735876;0;37;37;1;69,601707;0
Samar;San Sebastian;Bontod;0,2;0,5;0,3;1,64;7,322222;109,199;531;106;340,47;0;807.170;0;0;0;0;87,338688;0,002512
Samar;San Sebastian;Cabaywa;0,2;0,5;0,3;1,64;7,322222;53,8801;220;44;365,3;0;693.465;0;0;0;0;97,062033;0
Samar;San Sebastian;Camanhagay;0,2;0,5;0,3;1,64;7,322222;80,7324;633;127;582,14;0;844.463;0;0;0;0;97,78315;0,000255
Samar;San Sebastian;Campiyak;0,2;0,5;0,3;1,64;7,322222;28,4214;588;118;402,97;0;828.010;0;0;0;0;100,149181;0,000134
Samar;San Sebastian;Canduyucan;0,2;0,5;0,3;1,64;7,322222;5,886428;893;179;326,21;0;939.521;0;0;0;0;99,341821;0,001948
Samar;San Sebastian;Dolores;0,2;0,5;0,3;1,64;7,322222;178,704;678;136;467,88;0;860.915;0;0;0;0;98,169899;0
Samar;San Sebastian;Hita-Asan I;0,2;0,5;0,3;1,64;7,322222;5,581468;482;96;141,55;0;789.255;0;0;0;0;89,340585;0
Samar;San Sebastian;Hita-Asan II;0,2;0,5;0,3;1,64;7,322222;76,3247;477;95;221,97;0;776.459;0;0;0;0;94,918597;0
Samar;San Sebastian;Inobongan;0,2;0,5;0,3;1,64;7,322222;5,497241;446;89;237,15;0;776.093;0;0;0;0;101,918436;0,004095
Samar;San Sebastian;Poblacion Barangay 1;0,2;0,5;0,3;1,64;7,322222;81,3985;658;132;28,16;1;853.603;0;0;0;1;93,632167;0,000645
Samar;San Sebastian;Poblacion Barangay 2;0,2;0,5;0,3;1,64;7,322222;83,3138;454;91;2,89;1;779.018;0;0;0;1;87,227042;0
Samar;San Sebastian;Poblacion Barangay 3;0,2;0,5;0,3;1,64;7,322222;11,9649;387;77;1,55;1;754.522;0;0;0;1;90,924784;0
Samar;San Sebastian;Poblacion Barangay 4;0,2;0,5;0,3;1,64;7,322222;28,2276;704;141;1,76;1;870.421;0;0;0;1;79,009376;0
